,1.0,1.02,1.1,1.11,1.2,Lite 1.30,1.3,1.4,1.51,1.6,1.7,1.80,1.93,2.00,2.111,SZ 2017,GDW 2019,SZ 2022,2.2
161,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,hidden,hidden,hidden,hidden,hidden,hidden
162,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,hidden,hidden,hidden,hidden,hidden,hidden
163,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,hidden,hidden,hidden,hidden,hidden,hidden
164,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,hidden,hidden,hidden,hidden,hidden,hidden
165,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,hidden,hidden,hidden,hidden,hidden,hidden
166,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,hidden,hidden,hidden,hidden,hidden,hidden
167,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,hidden,hidden,hidden,hidden,hidden,hidden
168,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,hidden,hidden,hidden,hidden,hidden,hidden
169,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,hidden,hidden,hidden,hidden,hidden,hidden
170,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
171,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
172,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
173,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
174,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
175,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
176,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
177,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
178,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
179,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
180,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
181,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
182,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
183,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
184,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
185,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
186,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
187,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
188,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
189,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
190,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
